property_id,bank_property_id,property_type,city,address,price,lot_area_sqm,floor_area_sqm,listed_on,listing_url
P000002,D-356-00699,Residential Condominium,Quezon City,NCR,5551000,0,29,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00699-residential-condominium-in-quezon-city
P000003,D-356-00708,Residential Condominium,Quezon City,NCR,4916000,0,41,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00708-residential-condominium-in-quezon-city
P000004,D-356-00651,Residential Lot,Cebu City,Cebu,2523000,328,0,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00651-residential-lot-in-cebu-city
P000005,D-356-00701,Residential Condominium,Quezon City,NCR,5709000,0,39,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00701
P000006,D-356-00698,Residential Townhouse,General Trias,Cavite,2257000,65,57,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00698
P000007,D-356-00695,Residential Townhouse,Bacoor,Cavite,4138000,88,66,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00695
P000008,D-356-00685,Residential Condominium,Pasig,NCR,7066000,0,88,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00685
P000009,D-356-00734,Residential House & Lot,Dasmarinas,Cavite,3337000,80,135,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00734
P000010,D-356-00733,Residential Townhouse,General Trias,Cavite,3566000,118,72,EastWestBank,https://pre-owned-properties.eastwestbanker.com/property/d-356-00733
P000011,10999000000331,Agricultural - Vacant Lot,Libona,"Lot No. 91, Cafehan, Libona, Bukidnon",2185000,86327,0,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10999000000331
P000012,10915000000019,Residential - With Improvement,Binangonan,"Phase I-F, Block 14 Lot 5, St. Monique Valais, Brgy. Pantok and Darangan, Binangonan, Rizal",813000,62,69,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10915000000019
P000013,10828000004175,Residential - With Improvement,Tacloban City,"Lot 1, Block 8, Phase 6, corner Ruby & Ivory Streets, V&G Subdivision, Tacloban City, Leyte",5133000,223,272,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004175
P000014,10828000004130,Residential & Commercial - Vacant Lot,Hermosa,"Lot 618-A-6, Bataan Provincial Highway, Barangay Mandama (Sumalo), Hermosa, Bataan",1.590376107E7,1871,0,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004130
P000015,10828000004129,Residential & Commercial - Vacant Lot,Hermosa,"Lot 618-A-5, Bataan Provincial Highway, Barangay Mandama (Sumalo), Hermosa, Bataan",1.589523893E7,1870,0,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004129
P000016,10828000004119,Residential - With Improvement,Quezon City,"Lot 15, Block 469, No. 28 Don Pepe Street, Barangay Sto. Domingo,, Quezon City, Metro Manila",1.063504476E8,925,1789,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004119
P000017,10828000004118,Residential - With Improvement,Quezon City,"Lot 13, Block 469, No. 28 Don Pepe Street, Barangay Sto. Domingo,, Quezon City, Metro Manila",8.56270566E7,925,700,Metrobank,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004118
